intern_id,role_type,has_completed_examples,conflicting_instructions,workflow_clarity,hesitation_score,mentor_sync_freq,primary_bottleneck,friction_score,time_to_deliverable_days,at_risk_label
INT-1023,Software Engineering,0,0,1,3,0,Unclear Day-to-Day Workflow,6.7,8.4,1
INT-1024,Data & ML,0,0,2,2,2,Unclear Day-to-Day Workflow,2.8,6.0,0
INT-1025,Data & ML,0,0,3,3,1,Delayed Mentor Access / Blockers,4.6,5.5,0
INT-1026,Product Ops,0,0,2,2,1,Unclear Day-to-Day Workflow,2.8,6.3,0
INT-1027,Software Engineering,1,1,4,4,3,Conflicting Guidance from Leads,3.0,3.8,0
INT-1028,Data & ML,1,0,4,2,2,Tool Setup & File Access,1.0,2.0,0
INT-1029,Data & ML,0,1,1,4,2,Fear of Obvious Questions & Guesswork,8.2,8.9,1
INT-1030,Software Engineering,1,1,3,5,1,Conflicting Guidance from Leads,6.2,5.3,1
INT-1031,UI/UX Design,0,1,1,4,1,Fear of Obvious Questions & Guesswork,8.6,10.5,1
INT-1032,Software Engineering,0,1,1,4,0,Fear of Obvious Questions & Guesswork,9.4,10.6,1
INT-1033,Software Engineering,0,1,2,4,1,Fear of Obvious Questions & Guesswork,8.8,9.1,1
INT-1034,Marketing Tech,0,1,1,3,1,Conflicting Guidance from Leads,7.5,8.1,1
INT-1035,Marketing Tech,1,0,5,3,1,Delayed Mentor Access / Blockers,1.0,2.1,0
INT-1036,Product Ops,0,1,1,4,0,Fear of Obvious Questions & Guesswork,8.9,11.3,1
INT-1037,Software Engineering,1,0,3,3,0,Delayed Mentor Access / Blockers,2.6,3.4,0
INT-1038,Software Engineering,1,0,4,2,2,Tool Setup & File Access,1.0,1.5,0
INT-1039,UI/UX Design,0,1,3,4,1,Fear of Obvious Questions & Guesswork,5.8,7.5,0
INT-1040,Data & ML,1,0,2,3,1,Unclear Day-to-Day Workflow,2.2,3.1,0
INT-1041,Software Engineering,1,1,4,5,2,Conflicting Guidance from Leads,5.1,3.7,0
INT-1042,Data & ML,0,1,2,5,2,Fear of Obvious Questions & Guesswork,8.9,10.1,1
INT-1043,Software Engineering,1,1,3,5,0,Conflicting Guidance from Leads,6.9,6.9,1
INT-1044,Marketing Tech,0,0,2,2,3,Unclear Day-to-Day Workflow,2.4,5.4,0
INT-1045,Software Engineering,0,0,2,3,2,Unclear Day-to-Day Workflow,4.7,8.1,0
INT-1046,UI/UX Design,0,1,2,4,0,Fear of Obvious Questions & Guesswork,8.6,10.7,1
INT-1047,Software Engineering,1,1,3,5,3,Conflicting Guidance from Leads,5.9,6.0,0
INT-1048,Data & ML,1,1,3,3,5,Conflicting Guidance from Leads,1.8,2.2,0
INT-1049,Data & ML,0,1,2,3,0,Conflicting Guidance from Leads,7.6,10.9,1
INT-1050,Software Engineering,0,1,3,3,1,Conflicting Guidance from Leads,5.8,7.7,0
INT-1051,Marketing Tech,1,0,5,1,3,Tool Setup & File Access,1.0,2.3,0
INT-1052,Product Ops,0,0,1,2,2,Unclear Day-to-Day Workflow,3.9,6.1,0
INT-1053,Marketing Tech,0,1,4,3,1,Conflicting Guidance from Leads,5.3,7.4,0
INT-1054,Product Ops,1,0,2,3,1,Unclear Day-to-Day Workflow,2.4,3.3,0
INT-1055,Data & ML,1,0,3,3,1,Delayed Mentor Access / Blockers,2.0,2.7,0
INT-1056,Marketing Tech,0,1,3,5,2,Fear of Obvious Questions & Guesswork,9.3,10.1,1
INT-1057,Software Engineering,1,1,4,5,2,Conflicting Guidance from Leads,5.3,5.7,0
INT-1058,Software Engineering,1,1,3,3,1,Conflicting Guidance from Leads,3.4,3.8,0
INT-1059,Software Engineering,0,1,2,3,2,Conflicting Guidance from Leads,7.1,8.2,1
INT-1060,Software Engineering,1,0,3,3,2,Tool Setup & File Access,1.1,2.5,0
INT-1061,Data & ML,0,1,2,3,0,Conflicting Guidance from Leads,6.2,7.8,1
INT-1062,Software Engineering,1,1,4,5,1,Conflicting Guidance from Leads,4.7,6.3,0
INT-1063,Product Ops,1,0,4,4,2,Tool Setup & File Access,1.0,1.5,0
INT-1064,Data & ML,1,1,3,3,3,Conflicting Guidance from Leads,2.4,4.2,0
INT-1065,Software Engineering,0,1,3,2,2,Conflicting Guidance from Leads,4.2,7.2,0
INT-1066,Data & ML,1,1,4,5,2,Conflicting Guidance from Leads,5.8,4.7,0
INT-1067,Software Engineering,0,1,3,4,0,Fear of Obvious Questions & Guesswork,8.0,9.2,1
INT-1068,Product Ops,0,1,3,5,1,Fear of Obvious Questions & Guesswork,8.5,9.5,1
INT-1069,Software Engineering,0,0,1,1,2,Unclear Day-to-Day Workflow,3.4,4.7,0
INT-1070,Marketing Tech,1,0,3,2,1,Delayed Mentor Access / Blockers,1.0,1.8,0
INT-1071,Product Ops,1,1,4,4,1,Conflicting Guidance from Leads,4.1,4.0,0
INT-1072,Software Engineering,0,1,3,4,1,Fear of Obvious Questions & Guesswork,7.8,10.5,1
INT-1073,Software Engineering,1,1,3,3,0,Conflicting Guidance from Leads,3.2,4.7,0
INT-1074,Product Ops,0,1,2,4,1,Fear of Obvious Questions & Guesswork,8.9,11.0,1
INT-1075,UI/UX Design,1,1,4,3,1,Conflicting Guidance from Leads,2.9,4.3,0
INT-1076,UI/UX Design,0,1,2,4,1,Fear of Obvious Questions & Guesswork,8.0,8.6,1
INT-1077,Product Ops,1,1,4,4,0,Conflicting Guidance from Leads,4.9,5.1,0
INT-1078,Software Engineering,0,1,2,4,3,Fear of Obvious Questions & Guesswork,8.6,10.2,1
INT-1079,Data & ML,1,1,3,4,2,Conflicting Guidance from Leads,4.5,4.2,0
INT-1080,Software Engineering,0,1,3,3,2,Conflicting Guidance from Leads,5.6,8.0,0
INT-1081,Product Ops,0,1,3,2,3,Conflicting Guidance from Leads,3.4,5.6,0
INT-1082,UI/UX Design,0,0,3,4,2,Fear of Obvious Questions & Guesswork,4.5,6.3,0
INT-1083,Software Engineering,1,0,4,3,0,Delayed Mentor Access / Blockers,1.9,3.5,0
INT-1084,Software Engineering,1,0,3,2,2,Tool Setup & File Access,1.0,2.6,0
INT-1085,Software Engineering,0,1,3,5,2,Fear of Obvious Questions & Guesswork,8.1,9.2,1
INT-1086,Software Engineering,1,0,3,3,2,Tool Setup & File Access,1.0,3.1,0
INT-1087,UI/UX Design,1,1,4,5,1,Conflicting Guidance from Leads,5.6,5.2,0
INT-1088,UI/UX Design,1,1,3,4,0,Conflicting Guidance from Leads,5.6,6.4,0
INT-1089,Product Ops,1,0,3,4,1,Delayed Mentor Access / Blockers,3.7,4.9,0
INT-1090,Data & ML,0,1,3,5,1,Fear of Obvious Questions & Guesswork,8.3,9.4,1
INT-1091,Software Engineering,0,0,1,2,2,Unclear Day-to-Day Workflow,4.0,6.4,0
INT-1092,UI/UX Design,1,0,5,3,2,Tool Setup & File Access,1.0,1.5,0
INT-1093,Product Ops,1,1,3,4,1,Conflicting Guidance from Leads,4.6,5.8,0
INT-1094,Data & ML,1,0,2,4,5,Unclear Day-to-Day Workflow,2.2,3.1,0
INT-1095,Product Ops,0,0,3,2,2,Tool Setup & File Access,2.9,5.0,0
INT-1096,Data & ML,0,1,3,4,1,Fear of Obvious Questions & Guesswork,6.7,9.1,1
INT-1097,Data & ML,1,1,4,5,0,Conflicting Guidance from Leads,6.3,6.0,1
INT-1098,Data & ML,1,0,4,1,1,Delayed Mentor Access / Blockers,1.0,1.5,0
INT-1099,Software Engineering,1,1,3,3,1,Conflicting Guidance from Leads,3.8,3.5,0
INT-1100,Software Engineering,1,0,3,1,1,Delayed Mentor Access / Blockers,1.0,2.7,0
